epochs(10 hidden),mse
1000,0.006740907
1500,0.006763893
2000,0.006745252
2500,0.006723502
3000,0.006711856
3500,0.006711579
4000,0.006721444
4500,0.006739194
5000,0.006762942
5500,0.006788699
6000,0.006814357
6500,0.006842221
7000,0.00687476
7500,0.006914824
8000,0.006965439
8500,0.007025815
9000,0.007088258
9500,0.007145439
10000,0.007197579
10500,0.007249009
11000,0.007302408
11500,0.00735705
12000,0.007410275
12500,0.007459518
13000,0.007503343
13500,0.007541638
14000,0.007575456
14500,0.007606459
15000,0.007636106
15500,0.007665264
16000,0.007694367
16500,0.007723656
17000,0.007753304
17500,0.007783451
18000,0.007814212
18500,0.007845687
19000,0.00787797
19500,0.007911158
0,0
