hidden nodes(4000 epochs),mse,,,,
1,0.007011835,,,,
2,0.006878424,,,,p = 0.1
3,0.006738988,,,,4000 epochs
4,0.00664685,,,,sigmoid
5,0.006653645,,,,no momentum
6,0.006721896,,,,
7,0.006836795,,,,
8,0.006725043,,,,
9,0.006603611,,,,
10,0.006721444,,,,
11,0.006667741,,,,
12,0.006602269,,,,
13,0.006653609,,,,
14,0.006773648,,,,
15,0.006618289,,,,
16,0.006686279,,,,
17,0.006765507,,,,
18,0.006689421,,,,
19,0.006647701,,,,
20,0.006704097,,,,
21,0.006774011,,,,
22,0.006710998,,,,
23,0.006694519,,,,
24,0.006633636,,,,
25,0.00664657,,,,
26,0.00661186,,,,
27,0.006799412,,,,
28,0.006685788,,,,
29,0.006681288,,,,
30,0.006644469,,,,
